City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Grenville,GD,86.05,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
223,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
224,Alofi,NU,76.89,moderate rain,-19.0595,-169.9187,Taloa Heights
225,Nuqui,CO,84.04,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
229,Aitape,PG,78.15,heavy intensity rain,-3.1374,142.3475,
232,Eyl,SO,80.6,overcast clouds,7.9803,49.8164,Amiin Hotel
234,Mogadishu,SO,78.75,overcast clouds,2.0371,45.3438,Hotel Juba
239,Rincon,US,77.86,broken clouds,32.296,-81.2354,Days Inn Rincon
240,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Tesoro Los Cabos
242,Labuan,MY,80.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
244,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
245,Tete,MZ,86.09,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
246,Mangrol,IN,83.68,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
248,Mimongo,GA,77.02,light rain,-1.6195,11.6068,
250,Cockburn Town,TC,80.13,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
251,Gombong,ID,78.1,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
253,Tabou,CI,82.27,light rain,4.423,-7.3528,hotêl doufoulougou
259,Baracoa,CU,83.86,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
261,Luanda,AO,80.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
263,Salina Cruz,MX,88.12,scattered clouds,16.1667,-95.2,Amerik HOTEL
264,Ajdabiya,LY,85.01,clear sky,30.7554,20.2263,Almadina Hotel
270,Rafai,CF,86.74,overcast clouds,4.95,23.9167,
272,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
273,Naranjal,EC,76.8,overcast clouds,-2.6667,-79.6167,Media Naranja
285,Sola,VU,75.52,overcast clouds,-13.8833,167.55,Leumerus Bungalows
286,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Emeraude Beach Attitude Hotel
287,Vila,PT,78.75,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
288,Sisophon,KH,80.47,clear sky,13.5859,102.9737,Pyramid Hotel
289,Faya,SA,80.71,broken clouds,18.3851,42.4509,مقبرة ال مجمل
291,Shahreza,IR,84.78,clear sky,32.0339,51.8794,خوابگاه
292,Odweyne,SO,85.86,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
298,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
300,Mitsamiouli,KM,79.29,light rain,-11.3847,43.2844,Foyer ADM
304,Tucurui,BR,89.4,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
310,Loreto,MX,75.25,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
311,Berberati,CF,79.5,overcast clouds,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
313,Tezu,IN,75.81,few clouds,27.9167,96.1667,Circuit House
320,Georgetown,MY,85.89,light rain,5.4112,100.3354,Cititel Penang
331,Maxixe,MZ,76.82,few clouds,-23.8597,35.3472,Oceano
332,Luwuk,ID,77.07,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
334,Kisangani,CD,82.47,overcast clouds,0.5167,25.2,Grand Ramela Hotel
337,Kalmunai,LK,83.39,scattered clouds,7.4167,81.8167,VS Villa
353,Yala,TH,76.86,heavy intensity rain,6.3333,101.25,งานแต่ง Murnee - Wahid
355,Rodrigues Alves,BR,88.0,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
356,Namatanai,PG,79.11,light rain,-3.6667,152.4333,Namatanai Hotel
358,Cieza,ES,80.83,overcast clouds,38.24,-1.4199,Hotel San Sebastián Hospedería
361,Road Town,VG,84.29,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
362,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
364,Nouadhibou,MR,78.78,overcast clouds,20.930999999999997,-17.0347,El Medina
374,Satun,TH,82.11,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
382,Jamkhandi,IN,80.78,overcast clouds,16.5167,75.3,Hotel Shreyas
383,Hirara,JP,79.38,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
390,Bereda,ES,75.42,broken clouds,43.2686,-7.5406,Pazo de Verdes
395,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
396,Lazaro Cardenas,MX,86.99,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
405,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
407,Daru,PG,77.79,overcast clouds,-9.0763,143.2092,Daru Lodge
409,Kulhudhuffushi,MV,83.7,broken clouds,6.6221,73.07,Haajy Guest House 1
410,Sao Jose Da Coroa Grande,BR,80.85,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
413,Junnar,IN,77.86,broken clouds,19.2,73.8833,Hotel Anand
415,Ilebo,CD,84.25,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
421,Dingle,PH,78.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
422,Valentin Gomez Farias,MX,76.86,overcast clouds,28.2167,-106.5833,
436,Sumbe,AO,80.89,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
441,Kirakira,SB,77.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
442,Nuevo Progreso,MX,85.46,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
444,Kupang,ID,76.62,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
445,Kattivakkam,IN,89.08,scattered clouds,13.2167,80.3167,Raj's villa
446,Turayf,SA,89.85,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
447,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
448,Ojinaga,MX,79.75,clear sky,29.5667,-104.4167,Suites Las Palmas
450,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
453,Kochinda,IN,89.11,broken clouds,21.7333,84.35,Shristi Lodge
457,Borba,BR,89.47,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
459,Qui Nhon,VN,82.98,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
463,Anloga,GH,89.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
464,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
465,Intipuca,SV,85.89,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
466,Redlands,US,86.65,overcast clouds,34.0556,-117.1825,Dynasty Suites Redlands
467,Kieta,PG,77.83,light rain,-6.2167,155.6333,Uruna Bay Retreat
470,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
475,Sai Buri,TH,79.7,scattered clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
480,Tuburan,PH,78.89,moderate rain,6.6439,122.2736,GT Site
484,Kavaratti,IN,83.75,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
489,Banki,IN,88.99,broken clouds,20.3833,85.5333,Excise office banki
493,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
494,Kouango,CF,88.36,broken clouds,4.9934,19.9619,
495,Akyab,MM,83.19,overcast clouds,20.15,92.9,Hotel Memory
496,Astana,KZ,78.75,scattered clouds,51.1801,71.446,King Hotel Astana
502,Nanjing,CN,79.77,light rain,32.0617,118.7778,InterContinental Nanjing
508,Itacare,BR,84.09,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
509,Benguela,AO,82.11,clear sky,-12.5763,13.4055,Hotel Praia Morena
512,Khowst,AF,82.92,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
