City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Los Llanos De Aridane,ES,2021-05-23 21:44:56,28.6585,-17.9182,64.15,72,90,22.88
141,Constitucion,CL,2021-05-23 21:44:22,-35.3333,-72.4167,55.08,76,48,11.77
142,Kendari,ID,2021-05-23 21:44:45,-3.945,122.4989,75.09,93,95,3.38
143,Agadez,NE,2021-05-23 21:49:02,19.75,10.25,89.02,9,0,6.62
144,Tinlot,BE,2021-05-23 21:49:02,50.4752,5.3784,54.39,82,0,12.88
145,Northam,GB,2021-05-23 21:44:25,51.0333,-4.2167,49.01,88,83,14.92
146,Vestmannaeyjar,IS,2021-05-23 21:46:56,63.4427,-20.2734,44.08,77,36,7.45
147,Batagay-Alyta,RU,2021-05-23 21:47:17,67.8006,130.4114,33.98,61,11,3.24
148,Dingle,PH,2021-05-23 21:44:49,10.9995,122.6711,77.43,86,0,3.44
149,Ewa Beach,US,2021-05-23 21:44:49,21.3156,-158.0072,83.7,62,1,11.01
150,Muroto,JP,2021-05-23 21:49:03,33.2833,134.15,66.24,70,100,7.49
151,Arcachon,FR,2021-05-23 21:49:03,44.5875,-1.0519,53.92,87,0,0.0
152,Ndioum,SN,2021-05-23 21:49:03,16.5129,-14.6471,87.69,33,0,16.37
153,Hounde,BF,2021-05-23 21:49:04,11.5,-3.5167,88.21,39,100,4.43
154,Linares,CL,2021-05-23 21:49:04,-35.85,-71.6,50.49,76,7,6.42
155,Maymyo,MM,2021-05-23 21:49:05,22.0333,96.4667,68.56,88,67,1.88
156,Mindif,CM,2021-05-23 21:49:05,10.3976,14.4363,93.45,25,90,1.16
157,Mount Gambier,AU,2021-05-23 21:47:28,-37.8333,140.7667,55.31,62,100,16.11
158,Praia Da Vitoria,PT,2021-05-23 21:48:01,38.7333,-27.0667,62.85,67,20,5.08
159,Muros,ES,2021-05-23 21:49:05,42.7762,-9.0603,58.08,94,100,18.21
160,Richards Bay,ZA,2021-05-23 21:44:36,-28.783,32.0377,62.65,81,2,8.52
161,Beringovskiy,RU,2021-05-23 21:49:06,63.05,179.3167,31.91,98,100,10.04
162,Upington,ZA,2021-05-23 21:49:06,-28.4478,21.2561,59.04,20,0,12.48
163,Bani,DO,2021-05-23 21:49:07,18.2833,-70.3333,85.44,63,13,14.25
164,Kitimat,CA,2021-05-23 21:49:07,54.0524,-128.6534,62.91,46,32,3.0
165,Paso De Los Toros,UY,2021-05-23 21:49:07,-32.8167,-56.5167,55.74,80,68,17.6
166,Wagar,SD,2021-05-23 21:49:07,16.1525,36.2032,88.97,41,0,7.52
167,Port Alfred,ZA,2021-05-23 21:44:00,-33.5906,26.891,65.41,38,83,9.75
168,Viedma,AR,2021-05-23 21:49:08,-40.8135,-62.9967,53.01,61,28,7.67
169,Ilulissat,GL,2021-05-23 21:44:03,69.2167,-51.1,42.82,31,89,11.5
170,Kulhudhuffushi,MV,2021-05-23 21:49:08,6.6221,73.07,83.3,77,100,17.92
171,Cabo San Lucas,MX,2021-05-23 21:41:07,22.8909,-109.9124,90.81,61,1,9.22
172,Dargaville,NZ,2021-05-23 21:49:09,-35.9333,173.8833,58.08,65,100,14.52
173,Agbor,NG,2021-05-23 21:49:09,6.2518,6.1934,76.1,90,95,4.63
174,Norman Wells,CA,2021-05-23 21:49:09,65.282,-126.8329,48.24,93,90,13.8
175,Ajdabiya,LY,2021-05-23 21:47:24,30.7554,20.2263,76.23,22,0,3.18
176,Bakchar,RU,2021-05-23 21:49:10,57.0186,82.0711,58.32,87,100,7.7
177,Aksarka,RU,2021-05-23 21:49:10,66.5606,67.7975,41.5,66,18,24.54
178,Dobson,US,2021-05-23 21:49:10,36.3957,-80.7226,88.52,41,40,7.99
179,Palmas,BR,2021-05-23 21:49:11,-10.2128,-48.3603,85.87,66,0,5.75
180,Vieux-Habitants,GP,2021-05-23 21:49:11,16.0589,-61.7659,83.77,73,94,14.97
181,Zaraza,VE,2021-05-23 21:49:11,9.3503,-65.3245,83.23,66,95,7.74
182,Grindavik,IS,2021-05-23 21:44:45,63.8424,-22.4338,48.67,73,75,6.04
183,Lompoc,US,2021-05-23 21:44:13,34.6391,-120.4579,74.37,65,1,18.41
184,Indianola,US,2021-05-23 21:49:12,41.3581,-93.5574,82.2,76,73,8.68
185,La Cruz,MX,2021-05-23 21:44:28,23.9167,-106.9,89.47,43,50,7.0
186,Wenling,CN,2021-05-23 21:49:12,28.3669,121.36,68.92,95,100,9.51
187,Huarmey,PE,2021-05-23 21:48:10,-10.0681,-78.1522,68.74,78,21,9.86
188,Nanortalik,GL,2021-05-23 21:44:53,60.1432,-45.2371,37.26,66,100,6.22
189,Xiuyan,CN,2021-05-23 21:49:01,40.2928,123.2744,53.42,70,2,4.07
190,Moron,AR,2021-05-23 21:49:13,-34.6534,-58.6198,57.09,78,78,3.0
