City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Emerald,AU,-23.5333,148.1667,53.74,54,0,6.91,clear sky
177,Trairi,BR,-3.2778,-39.2689,85.66,56,1,11.14,clear sky
178,Coihaique,CL,-45.5752,-72.0662,45.21,93,90,8.05,moderate rain
179,Kaitangata,NZ,-46.2817,169.8464,49.48,94,100,9.37,moderate rain
180,Port Macquarie,AU,-31.4333,152.9167,55.36,77,87,11.43,overcast clouds
181,Lamu,KE,-2.2717,40.902,80.82,82,79,10.18,broken clouds
182,Maningrida,AU,-12.0667,134.2667,70.5,80,63,8.77,broken clouds
183,Ribeira Grande,PT,38.5167,-28.7,70.2,68,20,9.22,few clouds
184,Bathsheba,BB,13.2167,-59.5167,88.41,55,40,20.74,scattered clouds
185,Nueve De Julio,AR,-35.4444,-60.8831,55.71,43,5,10.27,clear sky
186,Tasiilaq,GL,65.6145,-37.6368,39.36,85,98,18.21,overcast clouds
187,Tautira,PF,-17.7333,-149.15,77.02,78,92,16.15,light rain
188,Sukumo,JP,32.9333,132.7333,61.86,83,21,2.13,few clouds
189,Esperance,AU,-33.8667,121.9,58.84,77,87,28.05,light rain
190,Nara,JP,34.6851,135.8049,67.28,74,0,2.39,clear sky
191,Sorong,ID,-0.8833,131.25,79.61,88,100,12.86,light rain
192,Lapeer,US,43.0514,-83.3188,65.46,29,1,0.0,clear sky
193,Urumqi,CN,43.801,87.6005,76.15,22,0,2.82,clear sky
194,Bambanglipuro,ID,-7.95,110.2833,63.61,86,38,3.91,scattered clouds
195,Telde,ES,27.9924,-15.4192,77.22,53,20,27.63,few clouds
196,Kiunga,PG,-6.1219,141.2906,74.53,91,100,2.37,overcast clouds
197,Luderitz,NA,-26.6481,15.1594,64.87,59,83,17.18,broken clouds
198,Wuwei,CN,37.9281,102.6414,64.71,44,89,2.91,overcast clouds
199,Qaanaaq,GL,77.484,-69.3632,32.32,91,100,5.75,overcast clouds
200,Torbay,CA,47.6666,-52.7314,59.88,60,20,10.36,few clouds
201,Oranjemund,NA,-28.55,16.4333,58.19,76,0,10.71,clear sky
202,Lorengau,PG,-2.0226,147.2712,81.39,83,100,9.98,overcast clouds
203,Samarai,PG,-10.6167,150.6667,79.09,77,100,16.08,overcast clouds
204,Bianzhuang,CN,34.8486,118.0447,71.2,78,18,9.08,light rain
205,Pingzhuang,CN,42.0372,119.2889,59.61,52,32,10.04,scattered clouds
206,Elizabeth City,US,36.2946,-76.2511,59.05,95,90,1.01,overcast clouds
207,Necochea,AR,-38.5473,-58.7368,57.04,45,9,16.17,clear sky
208,Bure,ET,10.7,37.0667,79.14,22,34,1.03,scattered clouds
209,Amahai,ID,-3.3333,128.9167,78.3,84,100,3.11,light rain
210,Trinidad,BO,-14.8333,-64.9,80.58,69,40,6.91,scattered clouds
211,Avarua,CK,-21.2078,-159.775,71.65,73,75,3.44,broken clouds
212,Shakiso,ET,5.75,38.9167,61.43,69,53,3.53,broken clouds
213,Viseu,PT,40.661,-7.9097,82.85,37,15,9.93,few clouds
214,Inuvik,CA,68.3499,-133.7218,36.46,64,20,3.44,few clouds
215,Komsomolets,KZ,53.7453,62.0708,66.34,75,75,12.37,moderate rain
216,Port Elizabeth,ZA,-33.918,25.5701,61.11,67,0,5.75,clear sky
217,Saldanha,ZA,-33.0117,17.9442,64.45,75,7,9.73,clear sky
218,Chaihe,CN,44.7667,129.7,54.75,76,100,3.27,overcast clouds
219,Grenville,GD,12.1167,-61.6167,86.05,76,31,19.73,scattered clouds
220,Udachnyy,RU,66.4167,112.4,52.84,42,18,5.55,few clouds
221,Salinas,US,36.6777,-121.6555,56.84,81,90,0.0,overcast clouds
222,Mareeba,AU,-17.0,145.4333,63.45,92,67,2.86,broken clouds
223,Mindelo,CV,16.8901,-24.9804,78.35,57,75,21.16,broken clouds
224,Alofi,NU,-19.0595,-169.9187,76.89,94,39,5.75,moderate rain
225,Nuqui,CO,5.7125,-77.2708,84.04,72,86,2.59,overcast clouds
226,Grindavik,IS,63.8424,-22.4338,49.95,93,90,16.89,overcast clouds
227,Kalanaur,IN,28.8333,76.4,98.38,18,94,4.0,overcast clouds
228,Asfi,MA,32.2994,-9.2372,66.94,88,100,2.89,overcast clouds
229,Aitape,PG,-3.1374,142.3475,78.15,89,100,3.2,heavy intensity rain
230,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,66,40,8.99,scattered clouds
231,New Norfolk,AU,-42.7826,147.0587,40.71,83,11,3.06,few clouds
232,Eyl,SO,7.9803,49.8164,80.6,78,98,21.74,overcast clouds
233,Ilam,NP,26.9167,87.9167,68.81,85,14,4.61,few clouds
234,Mogadishu,SO,2.0371,45.3438,78.75,81,100,13.78,overcast clouds
235,Salekhard,RU,66.53,66.6019,40.17,57,76,16.82,broken clouds
236,Skjervoy,NO,70.0311,20.9714,43.25,90,85,30.82,overcast clouds
237,Bethel,US,41.3712,-73.414,49.69,90,90,1.99,light rain
238,Parana,AR,-31.732,-60.5238,64.51,40,0,1.88,clear sky
239,Rincon,US,32.296,-81.2354,77.86,61,75,1.01,broken clouds
240,Cabo San Lucas,MX,22.8909,-109.9124,86.61,50,6,8.97,clear sky
241,Saint-Joseph,RE,-21.3667,55.6167,71.96,83,18,7.78,few clouds
242,Labuan,MY,5.2767,115.2417,80.76,89,20,0.0,few clouds
243,Katsuura,JP,35.1333,140.3,68.14,91,45,10.74,scattered clouds
244,Monrovia,LR,6.3005,-10.7969,82.17,74,98,8.21,light rain
245,Tete,MZ,-16.1564,33.5867,86.09,25,0,5.75,clear sky
246,Mangrol,IN,21.1167,70.1167,83.68,78,99,13.8,overcast clouds
247,Nantucket,US,41.2835,-70.0995,50.14,94,90,19.57,light rain
248,Mimongo,GA,-1.6195,11.6068,77.02,90,71,2.66,light rain
249,Kiskunlachaza,HU,47.1884,19.0093,62.1,55,96,5.23,light rain
250,Cockburn Town,TC,21.4612,-71.1419,80.13,79,78,18.57,broken clouds
251,Gombong,ID,-7.6072,109.5142,78.1,90,54,3.09,broken clouds
252,Maua,BR,-23.6678,-46.4614,72.19,95,100,5.91,overcast clouds
253,Tabou,CI,4.423,-7.3528,82.27,79,84,8.01,light rain
254,Meise,BE,50.9393,4.3266,74.52,41,0,10.2,clear sky
255,Rio Grande,BR,-32.035,-52.0986,57.31,46,25,13.09,scattered clouds
256,Iqaluit,CA,63.7506,-68.5145,35.33,69,75,13.0,broken clouds
257,Camacha,PT,33.0833,-16.3333,66.96,64,75,16.11,broken clouds
258,Pangnirtung,CA,66.1451,-65.7125,33.22,90,100,4.07,overcast clouds
259,Baracoa,CU,20.3467,-74.4958,83.86,70,30,4.45,scattered clouds
260,Kodiak,US,57.79,-152.4072,45.91,93,90,4.61,overcast clouds
261,Luanda,AO,-8.8368,13.2343,80.6,74,0,10.36,clear sky
262,Lafia,NG,8.4833,8.5167,92.71,47,100,3.49,overcast clouds
263,Salina Cruz,MX,16.1667,-95.2,88.12,60,30,3.85,scattered clouds
264,Ajdabiya,LY,30.7554,20.2263,85.01,35,0,16.89,clear sky
265,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,90,20.71,light rain
266,Dubai,AE,25.2582,55.3047,95.29,52,0,8.05,clear sky
267,Pisco,PE,-13.7,-76.2167,65.01,88,90,5.75,overcast clouds
268,Nybro,SE,56.7446,15.9071,74.73,32,2,7.18,clear sky
